Tempo,Usina,Potencia Ativa(kW),Potencia Ativa Prevista (Random Forest),PR,Status
2024-10-31 07:43:00,BET01 ,220.149,180.59018834138752,1.2190529398188041,Normal
2024-10-31 07:48:00,BET01 ,227.989,194.00218832969017,1.175187774751036,Normal
2024-10-31 07:53:00,BET01 ,90.824,177.7510245995602,0.510961892932035,Normal
2024-10-31 07:58:00,BET01 ,58.663,64.5500517047963,0.9087986523741409,Normal
2024-10-31 08:03:00,BET01 ,77.366,69.73177325424585,1.109479888284489,Normal
2024-10-31 08:08:00,BET01 ,248.748,200.3475891753837,1.2415821973392789,Normal
2024-10-31 08:13:00,BET01 ,182.521,200.0318265027313,0.9124597979787371,Normal
2024-10-31 08:18:00,BET01 ,249.978,238.2959464733468,1.0490232993869237,Normal
2024-10-31 08:23:00,BET01 ,108.949,135.2986821081407,0.8052480504793086,Normal
2024-10-31 08:28:00,BET01 ,145.347,127.57703155457004,1.1392881479440051,Normal
2024-10-31 08:33:00,BET01 ,250.019,194.47321480940244,1.2856217769888587,Normal
2024-10-31 08:38:00,BET01 ,71.718,79.92808192566783,0.8972816345911678,Normal
2024-10-31 08:43:00,BET01 ,82.772,103.7469098100036,0.7978261728622482,Normal
2024-10-31 08:48:00,BET01 ,63.368,76.00780478762448,0.8337038568217868,Normal
2024-10-31 08:53:00,BET01 ,74.958,63.77877216214899,1.1752813272953784,Normal
2024-10-31 09:03:00,BET01 ,250.036,199.98670324111885,1.2502631222363718,Normal
2024-10-31 09:08:00,BET01 ,249.978,178.30614310413912,1.4019595491670815,Normal
2024-10-31 09:13:00,BET01 ,68.122,71.96281933398373,0.9466277256848671,Normal
2024-10-31 09:23:00,BET01 ,249.989,237.510824149712,1.0525372933842483,Normal
2024-10-31 09:28:00,BET01 ,147.624,150.26922609841665,0.9823967543648344,Normal
2024-10-31 09:33:00,BET01 ,75.034,102.5866241313016,0.7314208907387699,Normal
2024-10-31 09:38:00,BET01 ,118.588,109.68629260370145,1.0811560604793216,Normal
2024-10-31 09:43:00,BET01 ,82.258,83.7006542049609,0.9827641227101018,Normal
2024-10-31 09:53:00,BET01 ,249.946,186.81921583273729,1.3379030571661392,Normal
2024-10-31 09:58:00,BET01 ,249.962,221.707724051935,1.1274392945436869,Normal
2024-10-31 10:03:00,BET01 ,91.798,206.82208970782568,0.44385007486232053,Normal
