Tempo,Usina,Potencia Ativa(kW),Potencia Ativa(kW) prevista,PR,Status
2024-09-30 16:38:00,BET01 ,57.886,57.04390261789315,1.0147622680682915,Normal
2024-09-30 16:43:00,BET01 ,44.056,43.97941712103177,1.0017413345601527,Normal
2024-09-30 16:48:00,BET01 ,31.756,32.110147060317495,0.9889708676932484,Normal
2024-09-30 16:53:00,BET01 ,22.468,22.17578924920639,1.0131770169489713,Normal
2024-09-30 16:58:00,BET01 ,14.043,14.559723059126982,0.9645101038647114,Normal
2024-09-30 17:03:00,BET01 ,9.851,9.87201592301589,0.9978711619612675,Normal
2024-09-30 17:08:00,BET01 ,7.338,7.2898362682539615,1.006606970304091,Normal
2024-09-30 17:13:00,BET01 ,5.131,5.237598393253963,0.9796474671690633,Normal
2024-09-30 17:18:00,BET01 ,3.717,3.703018575757576,1.0037756829884559,Normal
2024-09-30 17:23:00,BET01 ,2.449,2.362749955555558,1.0365040931401317,Normal
2024-09-30 17:28:00,BET01 ,1.036,0.9985606535714308,1.0374933122937144,Normal
2024-09-30 17:33:00,BET01 ,0.085,0.1777800713924964,0.47811883151031076,Normal
2024-09-30 17:38:00,BET01 ,0.085,0.1857041907287153,0.45771718810681916,Normal
2024-10-01 07:13:00,BET01 ,34.781,46.00536607474751,0.756020502988485,Normal
2024-10-01 07:18:00,BET01 ,134.764,140.78940342658743,0.9572027206598025,Normal
2024-10-01 07:23:00,BET01 ,192.452,169.20023586507918,1.1374215822811373,Normal
2024-10-01 07:28:00,BET01 ,227.557,201.11443191944468,1.131480211679422,Normal
2024-10-01 07:33:00,BET01 ,217.12,201.8081962287879,1.075873052023384,Normal
2024-10-01 07:38:00,BET01 ,238.986,218.98673745992068,1.0913263641992914,Normal
2024-10-01 07:43:00,BET01 ,226.555,203.4522071464283,1.1135539062348152,Normal
2024-10-01 07:48:00,BET01 ,230.222,190.13094755833345,1.2108602147967855,Normal
2024-10-01 07:53:00,BET01 ,75.873,84.06128279166653,0.9025915080077951,Normal
2024-10-01 07:58:00,BET01 ,185.882,173.2917509103175,1.0726534819086586,Normal
2024-10-01 08:03:00,BET01 ,63.075,66.32238260815296,0.951036400074177,Normal
2024-10-01 08:08:00,BET01 ,81.32600000000001,83.18473213174607,0.9776553691511292,Normal
2024-10-01 08:13:00,BET01 ,71.997,70.76091492976197,1.0174684721285046,Normal
2024-10-01 08:18:00,BET01 ,77.998,81.50293236507943,0.9569962421796109,Normal
2024-10-01 08:23:00,BET01 ,85.621,89.54546354029604,0.9561735080132785,Normal
2024-10-01 08:28:00,BET01 ,87.699,101.78207822142863,0.8616349904863343,Normal
2024-10-01 08:33:00,BET01 ,152.25,147.13180546825396,1.0347864590899103,Normal
2024-10-01 08:38:00,BET01 ,211.472,168.38240087857122,1.2559032232382932,Normal
2024-10-01 08:43:00,BET01 ,89.322,95.95118884880952,0.9309108211337002,Normal
2024-10-01 08:48:00,BET01 ,223.609,188.6418632841272,1.1853625494740065,Normal
2024-10-01 08:53:00,BET01 ,80.428,91.3662148087303,0.8802816245410976,Normal
2024-10-01 08:58:00,BET01 ,232.918,213.8140365266232,1.0893485001439467,Normal
2024-10-01 09:03:00,BET01 ,232.918,209.99242560515893,1.1091733396039112,Normal
2024-10-01 09:08:00,BET01 ,234.127,229.80608236323968,1.0188024511463127,Normal
2024-10-01 09:13:00,BET01 ,238.744,233.31778640396803,1.0232567507161112,Normal
2024-10-01 09:18:00,BET01 ,238.744,212.1773418174603,1.125209685233004,Normal
2024-10-01 09:23:00,BET01 ,105.845,107.10529680833343,0.98823310474935,Normal
2024-10-01 09:28:00,BET01 ,109.154,136.78568998690477,0.7979928310516246,Normal
2024-10-01 09:33:00,BET01 ,90.924,95.53481635238104,0.9517367957732393,Normal
2024-10-01 09:38:00,BET01 ,80.724,88.0170994878788,0.9171399701840532,Normal
2024-10-01 09:43:00,BET01 ,88.098,120.42090313809533,0.7315839501633008,Normal
2024-10-01 09:48:00,BET01 ,151.99,155.66263541587296,0.9764064420079936,Normal
2024-10-01 09:53:00,BET01 ,176.71200000000002,175.05160236031767,1.0094851896086312,Normal
2024-10-01 09:58:00,BET01 ,176.71200000000002,167.05188680079374,1.057827022395298,Normal
2024-10-01 10:03:00,BET01 ,144.034,147.95149053611095,0.9735217906766893,Normal
2024-10-01 10:08:00,BET01 ,75.833,129.213158184127,0.5868829542262175,Normal
2024-10-01 10:13:00,BET01 ,180.256,160.3301349984129,1.1242802234388711,Normal
2024-10-01 10:18:00,BET01 ,124.955,125.36489932857148,0.9967303501158074,Normal
2024-10-01 10:23:00,BET01 ,159.086,183.451275575,0.86718394026626,Normal
2024-10-01 10:28:00,BET01 ,237.945,219.83735015674625,1.0823683956813654,Normal
2024-10-01 10:33:00,BET01 ,237.592,227.5652058015868,1.0440611918816602,Normal
2024-10-01 10:38:00,BET01 ,238.628,238.2521627519838,1.0015774767526766,Normal
2024-10-01 10:43:00,BET01 ,238.002,234.6978320357144,1.014078391502921,Normal
2024-10-01 10:48:00,BET01 ,235.51,205.05549265822515,1.148518369086239,Normal
2024-10-01 10:53:00,BET01 ,70.974,124.5092359103176,0.5700300020403439,Normal
2024-10-01 10:58:00,BET01 ,105.591,102.30672228015868,1.0321022670518911,Normal
2024-10-01 11:03:00,BET01 ,233.948,204.17963620277789,1.1457949693262168,Normal
2024-10-01 11:08:00,BET01 ,234.558,224.3982882037159,1.0452753533799721,Normal
2024-10-01 11:13:00,BET01 ,233.096,233.88015139682548,0.9966472084435459,Normal
2024-10-01 11:18:00,BET01 ,234.094,233.73944859588755,1.001516865921616,Normal
2024-10-01 11:23:00,BET01 ,232.81,233.663394567316,0.9963477609794368,Normal
2024-10-01 11:28:00,BET01 ,233.69,234.28081495057745,0.9974781761336194,Normal
2024-10-01 11:33:00,BET01 ,235.591,235.5301895047623,1.0002581855657893,Normal
2024-10-01 11:38:00,BET01 ,236.52,235.97948869722217,1.002290501203142,Normal
2024-10-01 11:43:00,BET01 ,233.24,233.8672727597766,0.9973178258232783,Normal
2024-10-01 11:48:00,BET01 ,232.299,232.8405477777777,0.9976741689411651,Normal
2024-10-01 11:53:00,BET01 ,235.718,234.0392939919191,1.0071727528290138,Normal
2024-10-01 11:58:00,BET01 ,234.399,233.66790934072884,1.0031287593633798,Normal
2024-10-01 12:03:00,BET01 ,235.017,233.98867087189743,1.0043947816972112,Normal
2024-10-01 12:08:00,BET01 ,239.938,236.65750085119083,1.0138618008599352,Normal
2024-10-01 12:13:00,BET01 ,235.43,230.15560553943016,1.022916645667647,Normal
2024-10-01 12:18:00,BET01 ,232.071,230.2094677103898,1.0080862542628006,Normal
2024-10-01 12:23:00,BET01 ,236.387,232.41468066468244,1.0170915164393106,Normal
2024-10-01 12:28:00,BET01 ,236.548,234.6268591714287,1.008188068643785,Normal
2024-10-01 12:33:00,BET01 ,234.045,233.12955427460355,1.0039267682222655,Normal
2024-10-01 12:38:00,BET01 ,233.402,219.82801996468223,1.0617481794973114,Normal
2024-10-01 12:43:00,BET01 ,147.443,199.64348740873,0.7385314788563077,Normal
2024-10-01 12:48:00,BET01 ,231.547,227.25128165342687,1.0189029444204605,Normal
2024-10-01 12:53:00,BET01 ,229.866,221.07058240873,1.0397855630334771,Normal
2024-10-01 12:58:00,BET01 ,230.731,230.14753933795092,1.0025351592449239,Normal
2024-10-01 13:03:00,BET01 ,229.443,229.31427913821744,1.0005613294656848,Normal
2024-10-01 13:08:00,BET01 ,230.22,229.90914750836967,1.001352066653281,Normal
2024-10-01 13:13:00,BET01 ,229.615,228.9068281603173,1.0030937121682832,Normal
2024-10-01 13:18:00,BET01 ,228.564,227.8959396333332,1.002931427245881,Normal
2024-10-01 13:23:00,BET01 ,228.159,227.78571260277772,1.0016387656317727,Normal
2024-10-01 13:28:00,BET01 ,227.748,227.3605374369048,1.0017041768438057,Normal
2024-10-01 13:33:00,BET01 ,226.745,225.68517538174584,1.0046960311702418,Normal
2024-10-01 13:38:00,BET01 ,225.27,222.7163325906567,1.0114660087099983,Normal
2024-10-01 13:43:00,BET01 ,223.597,223.09045241634155,1.0022705928387878,Normal
2024-10-01 13:48:00,BET01 ,223.062,223.08623344365097,0.9998913718552827,Normal
2024-10-01 13:53:00,BET01 ,223.15,222.4342678079365,1.0032177244950473,Normal
2024-10-01 13:58:00,BET01 ,221.078,219.9029297252524,1.0053435862642475,Normal
2024-10-01 14:03:00,BET01 ,220.755,220.23145123481265,1.0023772661091406,Normal
2024-10-01 14:08:00,BET01 ,220.361,220.16247615912684,1.000901715152993,Normal
2024-10-01 14:13:00,BET01 ,219.479,218.48750496230127,1.0045379942339028,Normal
2024-10-01 14:18:00,BET01 ,217.863,217.66874612103163,1.0008924288967989,Normal
2024-10-01 14:23:00,BET01 ,216.744,216.2827347146828,1.0021326958248689,Normal
2024-10-01 14:28:00,BET01 ,214.943,214.54398522756148,1.0018598273543549,Normal
2024-10-01 14:33:00,BET01 ,214.803,214.0862712142856,1.003347850292544,Normal
2024-10-01 14:38:00,BET01 ,214.093,212.89853555952376,1.005610486879757,Normal
2024-10-01 14:43:00,BET01 ,211.574,209.9584217234125,1.0076947533865337,Normal
2024-10-01 14:48:00,BET01 ,211.989,210.63525605198424,1.0064269580192295,Normal
2024-10-01 14:53:00,BET01 ,209.528,203.9454059480161,1.0273729826177445,Normal
2024-10-01 14:58:00,BET01 ,207.226,206.1823772000004,1.0050616488866422,Normal
2024-10-01 15:03:00,BET01 ,205.27,205.21305105952385,1.000277511299511,Normal
2024-10-01 15:08:00,BET01 ,204.269,203.59330765753987,1.003318833758508,Normal
2024-10-01 15:13:00,BET01 ,200.907,200.8412640912699,1.0003273028031743,Normal
2024-10-01 15:18:00,BET01 ,200.272,199.32027738456011,1.0047748409139712,Normal
2024-10-01 15:23:00,BET01 ,195.329,193.86721062301612,1.0075401578858345,Normal
2024-10-01 15:28:00,BET01 ,189.533,188.0235815527781,1.0080278145685582,Normal
2024-10-01 15:33:00,BET01 ,184.52,184.9713777436508,0.9975597427604375,Normal
2024-10-01 15:38:00,BET01 ,184.176,180.94194875198377,1.0178734189076801,Normal
2024-10-01 15:43:00,BET01 ,181.039,179.7752262515868,1.0070297436124187,Normal
2024-10-01 15:48:00,BET01 ,177.54,175.2113984539684,1.0132902400561763,Normal
2024-10-01 15:58:00,BET01 ,164.314,164.61589574285742,0.9981660595928779,Normal
2024-10-01 16:08:00,BET01 ,148.56900000000002,148.47648541825407,1.0006230924815154,Normal
2024-10-01 16:13:00,BET01 ,131.34,132.02836208769847,0.9947862559467243,Normal
2024-10-01 16:18:00,BET01 ,114.843,114.11171321587317,1.0064085163873002,Normal
2024-10-01 16:23:00,BET01 ,99.49,100.1298702055558,0.9936095971737282,Normal
2024-10-01 16:28:00,BET01 ,84.763,85.53868930054115,0.990931713977803,Normal
2024-10-01 16:33:00,BET01 ,70.739,69.90980647261917,1.0118609043454525,Normal
2024-10-01 16:38:00,BET01 ,56.472,56.98942762817459,0.9909206382708293,Normal
2024-10-01 16:43:00,BET01 ,42.493,41.99084034628429,1.0119587902879432,Normal
2024-10-01 16:48:00,BET01 ,29.205,29.84918738611114,0.978418595528973,Normal
2024-10-01 16:53:00,BET01 ,20.975,20.674985938095222,1.0145109681236582,Normal
2024-10-01 16:58:00,BET01 ,13.614,13.7166188638889,0.9925186472769132,Normal
2024-10-01 17:03:00,BET01 ,9.318,9.43866145277778,0.9872162537684547,Normal
2024-10-01 17:08:00,BET01 ,6.705,6.7968395781746045,0.9864878996895099,Normal
2024-10-01 17:13:00,BET01 ,4.909,4.892912973412698,1.0032878219323982,Normal
2024-10-01 17:18:00,BET01 ,3.427,3.4332156988095224,0.9981895402576431,Normal
2024-10-01 17:23:00,BET01 ,1.99,2.050062925396825,0.9707019113156252,Normal
2024-10-01 17:28:00,BET01 ,0.974,0.91986752420635,1.0588481214622234,Normal
2024-10-01 17:33:00,BET01 ,0.1,0.1960187872377624,0.5101551815985081,Normal
2024-10-01 17:38:00,BET01 ,0.007,0.0210674055555555,0.3322668271392389,Normal
2024-10-02 05:28:00,BET01 ,1.629,1.4615284186507924,1.1145866061939518,Normal
2024-10-02 05:33:00,BET01 ,2.916,2.7866069416666672,1.0464339108607628,Normal
2024-10-02 05:38:00,BET01 ,4.965,4.956913624603174,1.0016313327221782,Normal
2024-10-02 05:48:00,BET01 ,13.869,13.751207804761892,1.0085659526719768,Normal
2024-10-02 05:58:00,BET01 ,27.597,24.041898781349182,1.147871066714944,Normal
2024-10-02 06:03:00,BET01 ,31.476,29.32661509563489,1.0732912713368354,Normal
2024-10-02 06:08:00,BET01 ,22.546,26.70723472341268,0.8441907308447487,Normal
2024-10-02 06:13:00,BET01 ,44.203,35.42520715952381,1.2477838111418453,Normal
2024-10-02 06:18:00,BET01 ,25.827,25.946022812878788,0.9954126760106098,Normal
2024-10-02 06:23:00,BET01 ,20.364,21.965701764285743,0.9270816939302178,Normal
2024-10-02 06:28:00,BET01 ,17.964,20.18970779801586,0.8897602768557853,Normal
2024-10-02 06:33:00,BET01 ,30.05,29.088598033333334,1.033050818247238,Normal
2024-10-02 06:38:00,BET01 ,33.382,33.86333777121214,0.9857858733694782,Normal
2024-10-02 06:43:00,BET01 ,38.331,49.45632528055565,0.7750474743636138,Normal
