Tempo,velocidade do vento,humidade,irradiancia inclinada,temperatura ambiente,Usina,Potencia Ativa(kW),lag_1,lag_2,Potencia Ativa Prevista (Random Forest),Potencia Ativa Prevista (kNN)
2024-10-13 07:28:00,5.240320729166668,67.60026666666667,907.1793,28.049840000000003,BET01 ,248.142,222.252,213.187,221.98043372054804,210.15427272727274
2024-10-13 07:33:00,4.9938883333333335,66.30080000000001,886.2422,28.49984,BET01 ,247.757,248.142,222.252,232.1814535597973,222.9859545454545
2024-10-13 07:38:00,5.527356145833334,64.39986666666667,469.2385,28.899840000000005,BET01 ,143.077,247.757,248.142,134.8596814249238,132.54854545454543
2024-10-13 07:43:00,5.841381458333334,62.7,367.63700000000006,29.05016,BET01 ,103.552,143.077,247.757,103.08111156541219,88.08027272727273
2024-10-13 07:48:00,4.692567552083333,64.29973333333334,407.3065,28.700000000000003,BET01 ,78.995,103.552,143.077,98.93328221536576,114.00486363636364
2024-10-13 07:53:00,4.047615677083334,62.400533333333335,253.2376,28.9,BET01 ,83.627,78.995,103.552,69.44956922383537,66.6404090909091
2024-10-13 07:58:00,3.99177125,61.7504,455.01200000000006,29.1,BET01 ,94.845,83.627,78.995,106.44939454019843,95.53827272727273
2024-10-13 08:03:00,4.388054166666667,60.35053333333334,312.2809,29.299840000000003,BET01 ,70.52,94.845,83.627,74.75028938056099,83.62204545454544
2024-10-13 08:08:00,4.324003229166667,59.65026666666667,410.48530000000005,29.200160000000004,BET01 ,171.99,70.52,94.845,115.5523462652276,84.30409090909092
2024-10-13 08:13:00,6.033213125,58.1004,416.6055,29.44984,BET01 ,76.933,171.99,70.52,98.0693560348356,107.70290909090909
2024-10-13 08:18:00,4.532625,55.75066666666668,331.1813,29.6,BET01 ,98.466,76.933,171.99,96.87025793671394,101.68118181818181
2024-10-13 08:23:00,5.493796770833335,55.35066666666667,346.24100000000004,29.799840000000003,BET01 ,110.407,98.466,76.933,94.61729670946919,82.3033181818182
2024-10-13 08:28:00,4.909036354166668,52.70026666666666,741.9374,30.349680000000003,BET01 ,103.743,110.407,98.466,116.20629368904359,121.06513636363637
2024-10-13 08:33:00,4.7951465625,52.8008,432.1544,30.399840000000005,BET01 ,113.26,103.743,110.407,100.57403889042332,91.57040909090911
2024-10-13 08:38:00,4.946390416666668,52.60013333333333,417.4885,30.40000000000001,BET01 ,100.654,113.26,103.743,97.7772923348903,94.27686363636363
2024-10-13 08:43:00,6.3677684375000005,51.0496,749.8242,30.60016,BET01 ,129.257,100.654,113.26,123.44296469459577,122.14699999999998
2024-10-13 08:48:00,5.574233958333333,50.59986666666667,625.4898000000001,30.90000000000001,BET01 ,184.075,129.257,100.654,143.44055970814932,137.1510909090909
2024-10-13 08:53:00,5.240596822916667,50.05026666666667,801.2694,31.14984,BET01 ,250.015,184.075,129.257,200.04011285135672,169.79200000000003
2024-10-13 08:58:00,4.716434427083333,49.35013333333334,410.6939,31.39984,BET01 ,96.278,250.015,184.075,107.47729840048355,138.02522727272728
2024-10-13 09:03:00,6.262818645833335,47.20133333333334,962.3007,31.84968,BET01 ,95.462,96.278,250.015,171.23309678374088,188.3141818181818
2024-10-13 09:08:00,5.651053125000001,45.9008,444.8696,32.39984,BET01 ,115.421,95.462,96.278,99.93755675083817,85.2698181818182
2024-10-13 09:13:00,6.838624687500001,44.2508,1169.2264,32.69984000000001,BET01 ,249.988,115.421,95.462,182.73887802776295,189.47790909090907
2024-10-13 09:18:00,6.737702291666667,44.95,1208.4548,32.800000000000004,BET01 ,250.007,249.988,115.421,242.36825175431989,237.31677272727268
2024-10-13 09:23:00,7.378936666666667,44.49946666666666,912.4897,32.800160000000005,BET01 ,250.023,250.007,249.988,236.04930793268332,235.8943636363636
2024-10-13 09:28:00,5.249538229166667,45.4992,1008.3326,32.50016,BET01 ,249.966,250.023,250.007,244.04513742719539,231.16100000000003
2024-10-13 09:33:00,6.451982291666669,44.5996,1120.5688000000002,32.60016,BET01 ,250.041,249.966,250.023,247.06297602171472,240.0984545454545
2024-10-13 09:38:00,6.686125416666668,44.89933333333333,880.4585,32.450320000000005,BET01 ,250.019,250.041,249.966,222.07202246402935,206.46113636363634
2024-10-13 09:43:00,6.100806041666667,44.9496,435.1783,32.49984,BET01 ,96.92,250.019,250.041,106.46225247854346,103.313
2024-10-13 09:48:00,6.143374166666667,45.49946666666667,611.6247000000001,32.300000000000004,BET01 ,150.81900000000002,96.92,250.019,161.141423426162,165.52672727272727
2024-10-13 09:53:00,6.337354062500001,43.650533333333335,1032.6162,33.04968,BET01 ,222.621,150.81900000000002,96.92,183.40477590191963,157.38522727272726
2024-10-13 09:58:00,5.35819734375,41.40053333333334,1095.1063,33.69952000000001,BET01 ,249.997,222.621,150.81900000000002,212.82597728052266,209.9142727272727
2024-10-13 10:03:00,6.124551197916668,40.50026666666667,1196.9819000000002,34.249840000000006,BET01 ,249.99,249.997,222.621,228.63140657235903,240.70031818181818
2024-10-13 10:08:00,7.319713541666667,39.70133333333334,991.7041000000002,34.300000000000004,BET01 ,112.381,249.99,249.997,224.93562305879468,236.53854545454544
2024-10-13 10:13:00,7.0817002083333325,38.150000000000006,930.4118,34.5,BET01 ,249.96,112.381,249.99,220.0713924621606,193.44059090909093
2024-10-13 10:18:00,8.3991671875,38.99973333333334,616.8569,34.25032,BET01 ,250.012,249.96,112.381,190.10967294816143,170.4976363636364
2024-10-13 10:23:00,5.450464583333334,39.449333333333335,282.4809,34.15032000000001,BET01 ,73.54,250.012,249.96,78.2215175245395,70.4484090909091
2024-10-13 10:33:00,7.578842291666667,40.0,608.1052000000001,33.60016,BET01 ,249.983,73.54,250.012,200.04544041829678,162.31577272727273
2024-10-13 10:38:00,8.100538125,38.95,1152.5686,34.14984,BET01 ,249.928,249.983,73.54,240.94335598294856,231.41563636363634
2024-10-13 10:43:00,8.461707187500002,38.5,1070.8303,34.2,BET01 ,201.509,249.928,249.983,228.4696395468816,247.23027272727276
2024-10-13 10:48:00,7.1291065625000005,37.84973333333333,382.749,34.200160000000004,BET01 ,118.724,201.509,249.928,121.2536256904648,152.80650000000003
2024-10-13 10:53:00,6.265452291666668,37.79986666666667,1100.2955,34.5,BET01 ,250.014,118.724,201.509,185.3230048268561,175.9239090909091
2024-10-13 10:58:00,6.673980416666668,37.14933333333333,485.1876000000001,34.30032,BET01 ,105.802,250.014,118.724,117.21414711122755,117.63963636363638
2024-10-13 11:03:00,7.515183229166667,38.00053333333334,1109.1022,34.1,BET01 ,249.995,105.802,250.014,235.1213793904595,230.27986363636361
2024-10-13 11:08:00,8.366209895833334,37.4496,1104.4050000000002,34.400000000000006,BET01 ,250.026,249.995,105.802,242.0147718121193,244.40018181818184
2024-10-13 11:13:00,7.340680208333334,37.25066666666667,1092.4154,34.44984,BET01 ,249.978,250.026,249.995,243.44784872229513,247.87690909090907
2024-10-13 11:18:00,7.725562916666666,36.75013333333334,515.9726,34.90016,BET01 ,146.448,249.978,250.026,130.3833534172129,181.38845454545455
2024-10-13 11:23:00,7.424872083333334,36.49973333333334,1073.4551,34.84984,BET01 ,250.015,146.448,249.978,240.33810976382736,232.8055909090909
2024-10-13 11:28:00,7.085828750000001,37.14933333333333,907.7796,34.400000000000006,BET01 ,123.936,250.015,146.448,185.91137498564,206.8316818181818
2024-10-13 11:33:00,6.554426041666668,36.35080000000001,1056.7439,34.89984,BET01 ,249.972,123.936,250.015,234.8064127439847,229.39131818181815
2024-10-13 11:38:00,6.993809166666668,35.7004,1049.682,34.85016,BET01 ,249.967,249.972,123.936,243.80722453846187,220.0642272727273
2024-10-13 11:43:00,7.036534791666668,36.55053333333333,666.4704000000002,34.400000000000006,BET01 ,249.995,249.967,249.972,162.15523869792483,183.35895454545454
2024-10-13 11:48:00,7.010473750000001,35.9996,1078.9168,34.499840000000006,BET01 ,249.987,249.995,249.967,245.18299255372446,246.626
2024-10-13 11:53:00,6.005495520833334,34.65013333333333,1060.609,35.0,BET01 ,249.975,249.987,249.995,248.05419202271256,245.8887272727273
2024-10-13 12:03:00,8.116069583333333,35.8004,1082.4995,34.749840000000006,BET01 ,249.975,249.975,249.987,244.7756809443972,249.04704545454544
2024-10-13 12:08:00,6.394017083333333,35.199866666666665,1058.3554,35.19984,BET01 ,249.989,249.975,249.975,247.95040124975958,245.67663636363633
2024-10-13 12:13:00,7.578565624999999,34.34986666666667,1068.4961,35.44984,BET01 ,249.939,249.989,249.975,244.0343305999205,244.56618181818183
2024-10-13 12:18:00,7.197285208333334,34.3,1066.4367,35.6,BET01 ,250.009,249.939,249.989,243.00345081355664,243.1267272727273
